Customer ID,Segment,churn_prob,future_ltv,num_transactions,total_spend,days_since_last_purchase,Recency,Frequency,Monetary
12346,Core Customers,0.12281058,0.0,12,77556.46,325,326,12,77556.46
12347,Core Customers,0.29638138,2104.05,8,5633.32,1,2,8,5633.32
12348,Core Customers,0.44326007,310.0,5,2019.4,74,75,5,2019.4
12349,Core Customers,0.27056953,1757.55,4,4428.69,18,19,4,4428.69
12350,Low Value,0.73286533,0.0,1,334.4,309,310,1,334.4
12351,Low Value,0.7615696,0.0,1,300.93,374,375,1,300.93
12352,Core Customers,0.33998302,944.23,10,2849.84,35,36,10,2849.84
12353,Low Value,0.8430424,0.0,2,406.76,203,204,2,406.76
12354,At Risk,0.7885976,0.0,1,1079.4,231,232,1,1079.4
12355,At Risk,0.5134949,0.0,2,947.61,213,214,2,947.61
12356,Core Customers,0.3875205,58.349999999999994,6,6373.68,22,23,6,6373.68
12357,Core Customers,0.3990558,6207.67,3,18287.66,32,33,3,18287.66
12358,Core Customers,0.0033007432,1168.06,5,3887.07,1,2,5,3887.07
12359,Core Customers,0.0021227389,2876.85,10,8935.94,57,58,10,8935.94
12360,Core Customers,0.05105753,1578.48,8,4252.89,51,52,8,4252.89
12361,At Risk,0.4185012,0.0,4,511.25,286,287,4,511.25
12362,Champions,0.002169607,4251.89,11,5356.23,2,3,11,5356.23
12363,At Risk,0.78851503,252.9,2,552.0,109,110,2,552.0
12364,New Customers,0.39679232,1313.1,4,1313.1,7,8,4,1313.1
12365,At Risk,0.75348085,0.0,2,641.38,290,291,2,641.38
12366,Low Value,0.7124665,0.0,1,500.24,633,634,1,500.24
12367,New Customers,0.7812122,168.9,1,168.9,3,4,1,168.9
12368,Low Value,0.699118,0.0,1,917.6999999999999,627,628,1,917.6999999999999
12369,At Risk,0.49958834,0.0,3,1791.15,412,413,3,1791.15
12370,Core Customers,0.10708211,739.28,7,4320.31,50,51,7,4320.31
12371,Core Customers,0.07769765,1887.96,5,4067.38,44,45,5,4067.38
12372,At Risk,0.5273397,383.12,3,1298.04,71,72,3,1298.04
12373,At Risk,0.452431,0.0,3,1127.65,310,311,3,1127.65
12374,Core Customers,0.3331423,742.9300000000001,4,2989.2200000000003,24,25,4,2989.2200000000003
12375,New Customers,0.7863541,457.5,2,457.5,10,11,2,457.5
12376,Low Value,0.5899945,0.0,2,503.15,389,390,2,503.15
12377,At Risk,0.7694038,0.0,4,3426.32,314,315,4,3426.32
12378,At Risk,0.68582547,4008.62,2,5416.32,129,130,2,5416.32
12379,At Risk,0.64010435,852.24,4,1620.22,81,82,4,1620.22
12380,Core Customers,0.063260525,2117.26,11,9676.300000000001,21,22,11,9676.300000000001
12381,Core Customers,0.31804392,1845.31,5,1845.31,4,5,5,1845.31
